,歌詞
0,ひらりと翻したの風の吹くまま思惑、するり逃れてニヒルに駆けるキラリとこぼれ落ちた涙と思い出をさっと拭って見せてあなたが蜃気楼に見えたのあなたは蜃気楼無邪気に笑ってみせてあなたは蜃気楼僕を振り回して“鏡の前のお前は一体誰？最早その顔、別人だぜ無駄な荷物を捨て去って過去、嘲笑って生きることは大変で歩いてりゃ誰か失ってそれでも誰かのため生きたいって(偽善か？)視線は関係ないぜわかったように見えてる世界は錯覚だらけ”あなたが蜃気楼に見えたのあなたは蜃気楼無邪気に笑ってみせてあなたは蜃気楼僕を振り回して
0,ダンスなんて上手く踊れないけれど今だけは踊りたい気分イケてるステップなんて刻めないけれど誰も見ちゃいないし気にしないで皆寝ちゃったよ今夜、世界は僕らのもの明日の事なんてわからないけれど人生は止まらないし夏の終わりの熱帯夜に二人夜に眩しいほどに煌めいて皆寝ちゃったよ今夜、世界は僕らのもの君の世界に僕も生きられるならそれは素敵な事でしょう？(子供みたいに戯れあってさ)大人になんてなりそびれたままでいいの勝手に世界が回っても(それもいい、いっそ君だけでいい)息を潜めろ街が寝静まるまでShining Shining Shining Shining恐れずにこの夜に飛び込むのShining Shining Shining Shining君の世界に僕も生きられるならそれは素敵な事でしょう？(子供みたいに戯れあってさ)大人になんてなりそびれたままでいいの勝手に世界が回っても(それもいい、いっそ君だけでいい)
0,幸せの対価に、どれ程の価値が要るかなんて知る由もない、知りたくも無い確かなものに手を伸ばしたい自分の替えなどいくらでもいるんだ自惚れんなよ世界はそんなもんだって生きてりゃわかるさガムシャラに命を燃やし続けてデタラメに刃を振り回したオーバーフローしているんだ日々に雁字搦めなんだ臆病風になびいてしまう前に愛を探しに行くんだ君に逢いに行かなくちゃあと一度だけでいい初めからやり直せるはずさみっともないって呆れてくれよ惨めだねって罵ってくれよ見捨てずにまた遊んでくれよ昔みたいに笑ってくれよ夢ばかりを見てたいわけじゃない如何しようも無い今を愛していたいなんて戯言を言っていたいどうにもこうにもうまくいかない脳味噌オフ ⇒ 事故 ⇒ 向かう泥仕合こんな時ほど素直になりたいよなガムシャラに命を燃やし続けてデタラメに刃を振り回した困った事になったな君に雁字搦めなんだ未だ平静装い鼻歌交じりで愛を探しに行くんだ君に逢いに行かなくちゃもう一度だけでいい初めからやり直せるはずさオーバーフローしているんだ大切なものなんて数える程しかないの愛を探しに行くんだ気づかぬうちに欲張りすぎてしまったオーバーフローしているんだ日々に雁字搦めなんだ臆病風になびいてしまう前に愛を探しに行くんだ君に逢いに行かなくちゃあと一度だけでいい初めからやり直せるはずさ困った事になったな君に雁字搦めなんだ未だ平静装い鼻歌交じりで愛を探しに行くんだ君に逢いに行かなくちゃもう一度だけでいい初めからやり直せるはずさみっともないって呆れてくれよ惨めだねって罵ってくれよ見捨てずにまた遊んでくれよ昔みたいに笑ってくれよ
0,さよならハイになったふりしたって心模様は土砂降りだよ傘も持たずにどこへ行くの？あれこれ不安になったってどうしようもない“運命でしょ？”曇りガラス越しのあなたにはもう何も届いちゃいない3回目のアラームでようやく起き上がれそうな朝眠い目を擦りながら顔を洗ってコーヒーを流し込め運命なんてハナから信じきれやしないよな深読みのし過ぎばかりじゃ満たされやしなくてもっと話したいんだもっと近づきたいんだ遠くで眺めていたく無いよなどんな時だってさよならハイになったふりしたって心模様は土砂降りだよ傘も持たずにどこへ行くの？あれこれ不安になったってどうしようもない“運命でしょ？”曇りガラス越しのあなたにはもう何も届いちゃいないガラス片を避けながら直行直帰寝落ちる毎日さ満員電車に息を潜め鳴り響いたベルが発車の合図さ繋いだ手確かめた確かに僕ら此処に居たのさ寄せては返す波の中を必死に立っていたんだゴールなんか有りはしないよなただのレースとは違うよな巷に流れるラヴ・ソングの様にはいかないねさよならハイになったふりしたって心模様は土砂降りだよ傘も持たずにどこへ行くの？あれこれ不安になったってどうしようもない“運命でしょ？”曇りガラス越しのあなたにはもう何も届いちゃいないんだ結局は愛がどうとかわからないよ未だにそう言い放った自分の頼りない背中を見たさよならハイになったふりしたって心模様は土砂降りだよ傘も持たずにどこへ行くの？あれこれ不安になったってどうしようもない“運命でしょ？”曇りガラス越しのあなたにはもう何も届いちゃいないんだ
0,私は泣いたことがない灯りの消えた街角で速い車にのっけられても急にスピンかけられても恐くなかった赤いスカーフがゆれるのを　不思議な気持で見てたけど私　泣いたりするのは違うと感じてた私は泣いたことがないつめたい夜の真ん中でいろんな人とすれ違ったり投げKissうけとめたり投げ返したりそして友達が変わるたび　想い出ばかりがふえたけど私　泣いたりするのは違うと感じてた飾りじゃないのよ涙は HAHAN好きだと言ってるじゃないの HO HO真珠じゃないのよ涙は HAHANきれいなだけならいいけどちょっと悲しすぎるのよ涙は HOHOHOHOHOHO…HUHUHU……WA！！私は泣いたことがない本当の恋をしていない誰の前でもひとりきりでも瞳の奥の涙は隠していたからいつか恋人に会える時私の世界が変わる時私　泣いたりするんじゃないかと感じてるきっと　泣いたりするんじゃないかと感じてる飾りじゃないのよ涙は HAHAN好きだと言ってるじゃないの HO HO真珠じゃないのよ涙は HAHANきれいなだけならいいけどちょっと悲しすぎるのよ涙は飾りじゃないのよ涙は HAHAN輝くだけならいいけど HO HOダイヤと違うの涙は HAHANさみしいだけならいいけどちょっと悲しすぎるのよ涙はLa La La……
0,"背後の雨は昨日の2人を、青く深く染め上げてゆく。最後の手触りは、心の痛みに深く潜ってゆく“Dance dance, anyways, it'll work.”she says.さっきまで窓に映った貴女は梅雨の中へと溶けて消えてゆく“さあ、お乱れ、最後の夜だろ？”ありのままに踊り狂ってゆく“Dance dance, anyways, it'll work.”she says."
0,晴れた空、公園のベンチで1人誰かを想ったりする日もある世界がいつもより穏やかに見える日は自分の心模様を見ているのだろう吐き出せばいいよ取り乱せばいいよ些細な拍子に踏み外してしまう前に愛を守らなくちゃあなたを守らなくちゃ消えそうな心の声を聞かせてぽっかりと空いたその穴を僕に隠さないで見せておくれよあなたの正体をあなたの存在をそっと包み込むように僕が傷口になるよ気づけば誰かの物差しで人と比べた未来に傷ついて身体にぽっかりと空いたその穴を埋めてあげることが出来たのなら逃げ出せばいいよ全てを放り出せばいいよ些細な拍子に壊れてしまう前に愛を守らなくちゃあなたを守らなくちゃ消えそうな心の声を聞かせてぽっかりと空いたその穴を僕に隠さないで見せておくれよ傷には包帯を好き勝手放題の世界から遠ざけるように僕が傷口になるよ愛する誰かが自殺志願者に僕らはそのくらい脆く不確かで愛を守らなくちゃあなたを守らなくちゃ世界の片隅に灯るかすかな光を掻き集めてこの世界の希望も絶望も全て飛沫をあげてあなたに降り注ぐのならあなたの正体をあなたの存在をそっと庇うように僕が傷口になるよ
0,"TVステーションでは今日も騒ぎ立てているコメンテーター耳障りで狂言めいた遠い世界の話ばかりだな正義もヘッタクレもない悪事も結託すりゃバレないな甘い蜜だけを吸っていたい薄っぺらいピエロはあっちへ行きな“Wake up people in Tokyo Daydream”Open your eyes, open eyes wide.目を覚ませ、目を凝らせRock'n roller sing only ‘bout love and life.所詮ロックンローラーは愛と人生しか歌えないんだ“Wake up people in Tokyo Daydream.”Open your eyes, open eyes wide.目を覚ませ、目を凝らせIt could be the start of something new tonight.今夜、真っ新から始めようド派手に着飾ればセンセーション中身二の次TVステーションすっからかんなセレブレーション素っ裸で今夜のシュミレーション“正直者は馬鹿をみる”ディスるだけのアンチヒーローを射る私腹を肥やす足長親父子供を騙してはメイクマニー“Wake up people in Tokyo Daydream.”Open your eyes, open eyes wide.目を覚ませ、目を凝らせRock'n roller sing only ‘bout love and life.所詮ロックンローラーは愛と人生しか歌えないんだ“Wake up people in Tokyo Daydream.”Open your eyes, open eyes wide.目を覚ませ、目を凝らせIt could be the start of something new tonight.今夜、真っ新から始めよう擦れて溶けたビロードからは露わ傷を披露けれど血は出ぬ我が身中身が空っぽの強み、伴う痛み来た道振り返り生まれる弱み寄せては返す人の波それでも繰り返す日々の営み擦れて溶けたビロード見事に露わ傷を披露けれど血は出ぬ我が身中身が空っぽのお詫びのらりくらり都会暮らし“Wake up people in Tokyo Daydream.”Open your eyes, open eyes wide.目を覚ませ、目を凝らせRock'n roller sing only ‘bout love and life.所詮ロックンローラーは愛と人生しか歌えないんだ“Wake up people in Tokyo Daydream.”Open your eyes, open eyes wide.目を覚ませ、目を凝らせIt could be the start of something new tonight.今夜、真っ新から始めよう"
0,"優しい嘘をついてくれよ現実は残酷だもの酔いどれ踊れ全てを忘れるまで強がり笑うだけ“Why don't you come back to me？”避けようのない痛みを二人分け合えるよ“cause I know you're lonely like me.”こびり付いた悲しみを拭い去れるの？流離え友よ生まれては死ぬだけの輪廻の中を終わりのない旅路を進め　夜が明けるまで奥歯を食いしばって“Why don't you come back to me？”ささやかな喜びを二人分け合えるよ“cause I know you're lonely like me.”この溢れ出す思いを伝えに行くよeverytime,I feel as one.sometime,We feel as one.ささやかな人生を愛せるのならばeverytime,I feel as one.sometime,We feel as one.信じていたもの全てを手放したっていいんだ“You always stay in my mind.”“I want you stay in your mind.”“Why don't you come back to me？”この素晴らしき世界を二人分けあえるよ“cause I know you're lonely like me.”この胸の悲しみと共に生きてゆくよ"
0,叶いやしない願いばかりが積もっていく大人になったんだなピアノの音でさえ胸に染みるぜ君はすっかり変わってしまったけど俺はまだここにずっといるんだ汚れた部屋だけを残してちっぽけな夢に囚われたままで売り払う魂も残っちゃいないけど君のすべては俺のすべてさなんて言葉は過去のもの今ならこの身さえ差し出すよ何も知らなかった自分を羨ましく思うかい？君を失望させてまで欲しがったのは何故何もかもを手に入れたつもりでいたけどもう十分でしょうもう終わりにしよう目に見えるものなんて世界のほんの一部でしかないんだ今ならそう思えるよ本当に泣きたい時に限って誰も気づいちゃくれないよな人知れず涙を流す日もある履きなれた靴で出かけよう靴音を高らかに響かせながら決して足跡を消さないでいつでも辿れば君の元に帰れるようにそばにいて欲しいんだ、どんな未来でも譲れぬものだけを胸に歩いていくんだ自分の身の丈を知り、それでも背けずに見つめられるかい？骨までずぶ濡れの明日さえも信じられるかい？最終列車はもう行ってしまったけれどこの真夜中を一緒に歩いてくれるかい？何時間かかってもいいんだゆっくりでいいこの足跡を辿って確かな足取りで帰ろうよ何も知らなかった自分を羨ましく思うかい？君を失望させてまで欲しがったのは何故何もかもを手に入れたつもりでいたけどもう十分でしょうもう終わりにしようかそばにいて欲しいんだ、どんな未来でも譲れぬものだけを胸に歩いていくんだ自分の身の丈を知り、それでも背けずに見つめられるかい？骨までずぶ濡れの明日さえも信じられるかい？叶いやしない願いばかりが積もっていく大人になったんだなピアノの音でさえ胸に染みるぜ君はすっかり変わってしまったけど俺はまだここにずっといるんだ汚れた部屋だけを残して
